2992,SITTING BEAR WITH CUB-PAGE 139,103
2993,CLIMBING BEAR - PAGE 139      ,103
2995,STANDING BEAR                 ,143
3238,8' FOUNTAIN POOL - MODULAR    ,10035
3247,12' FOUNTAIN POOL - MODULAR   ,16830
3305,LARGE FOUR TIER FOUNTAIN      ,4068
3310,SINGLE TIER LG G/B FTN        ,1400
3320,SM THREE TIER G/B OPEN UMB FTN,488
3345,TWO TIER FLOWER NYMPH FOUNTAIN,3138
3351,WILDLIFE FOUNTAIN - BEARS     ,780
3361,WILDLIFE FOUNTAIN - DEER      ,780
3365,CLASSICAL DOVES OF LOVE FTN   ,625
3371,"50"" TWO TIER TULIP LEAF FTN   ",875
3374,ONE TIER TULIP LEAF FLOWER NYM,1738
3375,THREE TIER FROG STONE FOUNTAIN,695
3376,"46"" BELGIUM BOY FOUNTAIN      ",493
3383,TWO TIER DOVES OF LOVE FTN    ,1073
3386,"70"" 2TIER PINEAPPLE ON TUL FTN",2145
3389,STANDING CHERUB W/FROGS FTN   ,1168
3390,ONE TIER LEAF FOUNTAIN        ,583
3394,CHERUB W GRAPES WALL FOUNTAIN ,918
3396,ROCK WATERFALL                ,630
3397,ROCK WALL FOUNTAIN            ,865
3399,COURTING COUPLE STONE TILE FTN,1148
3402,FOUR LEAF FOUNTAIN            ,1570
3403,GIRL WITH WATERING CAN FTN    ,493
3404,STANDING CHERB WITH GLOBE FTN ,913
3406,FROGS ON GARDEN STUMP FOUNTAIN,470
3408,THREE TIER CLASSICAL FOUNTAIN ,1048
3410,ROCK WATERFALL                ,1330
3413,TWO TIER ORNAMENTAL FISH FTN  ,505
3415,SMALL FOUR TIER FOUNTAIN      ,1305
3417,THREE TIER TULIP LEAF FOUNTAIN,2040
3427,LG GB UNDER UMBRLA CLASIC POOL,1270
3429,"35"" BATHING WOMAN FOUNTAIN    ",540
3431,CHERUBS ON VINE SPHERE FTN    ,730
3432,"44"" CLASSIC PINEAPPLE FOUNTAIN",548
3436,"40"" IVY SPHERE FOUNTAIN       ",580
3438,"25"" SLATE FOUNTAIN            ",523
3440,TWO TIER LG GRECIAN LADY FTN  ,3138
3442,"87"" CHERUB AND SHELLS FOUNTAIN",1838
3443,"43"" OTTER FOUNTAIN            ",738
3445,TWO TIER LG GIRL HOLDG JUG FTN,1088
3446,"86""THREE TIER SCALLOP FTN     ",3425
3447,"58"" SAND CASTLE FOUNTAIN      ",820
3448,"48"" MERMAID AND FISH FOUNTAIN ",780
3449,2 TIER FLUTED FOUNTAIN        ,1048
3451,2 TIER SEASHELL FOUNTAIN      ,1148
3455,SITTING ORIENTAL WOMAN FTN    ,583
3457,"27"" MEADOWS GLOW FOUNTAIN     ",333
3458,"53"" DOLPHIN FOUNTAIN          ",705
3459,"63""TWO TIER DISTRESED SCRL FTN",1305
3461,"54"" CHERUB W SEASHELL FOUNTAIN",658
3462,"80"" IMPERIAL SCROLL FOUNTAIN  ",3225
3463,"30"" MILOS JUG FOUNTAIN        ",548
3464,CANDIA SQUARE FOUNTAIN        ,788
3465,"42"" SMALL PAGODA FOUNTAIN     ",658
3466,THREE URN PRINCIPESSA FOUNTAIN,3465
3468,"56"" SM G/W JUG SCROL SHELL FTN",588
3471,IMPERIAL SCROLL FTN FIBE 6' PL,3853
3474,"33"" CHELSEA GLOW SQUARE FTN   ",333
3477,"54""DOUBLE FISH AND CHERUB FTN ",615
3478,"43"" FLEUR DE LIS VASE FOUNTAIN",1168
3479,"52"" ONE TIER LION FINIAL FTN  ",1088
3481,"46"" STONE TOPIARY FOUNTAIN    ",1230
3482,"60"" TWO TIER RENAULT FOUNTAIN ",1305
3483,"52"" FISH QUARTET FOUNTAIN     ",730
3484,"33"" CHELSEA GLOW HEX FTN      ",333
3486,NESTING BIRDS VINE SPHERE FTN ,625
3488,"58"" MILANO URN LION FOUNTAIN  ",1745
3489,"53"" NEPTUNE SHELL FOUNTAIN    ",618
3492,"53"" VENUS OF THE SEA SHELL FTN",605
3494,"33"" CHELSEA GLOW ROUND FOUNTAI",333
3496,"62"" ROMAN PINECONE FINIAL FTN ",1695
3497,"48"" TIVOLI URN POOL FOUNTAIN  ",1168
3499,"80"" THREE TIER PAGODA FOUNTAIN",1948
3501,"27"" TWO TIER MEADOWS GLOW FTN ",333
3504,"30""CONTEMPORARY DIAG FTN-RIGHT",398
3508,"42""CONTEMPORARY DIAG FTN-RIGHT",515
3509,"34"" CONTEMPORARY SWIRL FTN    ",398
